0.011,0,-0.0363,-6.3525,0.01885,-0.0578,-10.115
0.021,0,-0.0353,-2.5475,0.01885,-0.0567,-4.1426
0.031,-0.01885,-0.0341,-2.4376,0,-0.056,-4.1301
0.041,-0.037699,-0.0331,-2.3826,-0.037699,-0.0567,-4.3226
0.051,-0.075398,-0.0323,-2.3426,-0.094248,-0.0595,-4.7426
0.061,-0.1131,-0.0333,-2.5976,-0.1508,-0.0636,-5.1802
0.071,-0.1508,-0.0358,-2.9351,-0.20735,-0.0665,-5.2777
0.081,-0.1885,-0.0385,-3.1576,-0.28274,-0.0659,-4.8827
0.091,-0.20735,-0.0403,-3.2027,-0.33929,-0.0613,-4.1378
0.101,-0.26389,-0.0396,-2.9002,-0.41469,-0.0529,-3.1278
0.111,-0.28274,-0.0365,-2.4277,-0.49009,-0.0425,-2.1478
0.121,-0.32044,-0.0307,-1.7227,-0.52779,-0.0311,-1.1928
0.131,-0.35814,-0.0238,-1.0952,-0.58434,-0.0193,-0.26784
0.141,-0.37699,-0.0163,-0.47273,-0.64088,-0.0078,0.56465
0.151,-0.41469,-0.0082,0.19476,-0.67858,0.002,1.1297
0.161,-0.43354,0,0.81976,-0.67858,0.0102,1.5847
0.171,-0.45239,0.0085,1.4873,-0.69743,0.0181,2.1472
0.181,-0.45239,0.0168,2.0898,-0.69743,0.0286,3.1947
0.191,-0.45239,0.0236,2.4498,-0.67858,0.0396,4.0697
0.201,-0.43354,0.0296,2.8198,-0.65973,0.0475,4.3522
0.211,-0.39584,0.0344,3.0598,-0.64088,0.0505,4.0872
0.221,-0.37699,0.0383,3.2623,-0.58434,0.0484,3.4198
0.231,-0.35814,0.0406,3.2749,-0.56549,0.0432,2.7198
0.241,-0.32044,0.0411,3.1324,-0.50894,0.0357,1.9273
0.251,-0.28274,0.0395,2.8024,-0.47124,0.028,1.3298
0.261,-0.24504,0.0363,2.4024,-0.41469,0.0202,0.73484
0.271,-0.1885,0.0319,1.9524,-0.39584,0.0128,0.21984
0.281,-0.16965,0.0269,1.5174,-0.35814,0.0059,-0.24765
0.291,-0.1131,0.0215,1.0725,-0.33929,-0.0002,-0.62515
0.301,-0.094248,0.0164,0.71997,-0.32044,-0.0052,-0.89016
0.311,-0.056549,0.0118,0.42497,-0.32044,-0.0092,-1.0902
0.321,-0.01885,0.0078,0.18498,-0.32044,-0.0131,-1.3727
0.331,-0.01885,0.0047,0.042478,-0.32044,-0.0162,-1.5252
0.342,0,0.0025,-0.032521,-0.35814,-0.0175,-1.4427
0.351,0.01885,0.0017,0.04748,-0.35814,-0.0162,-1.0852
0.361,0.01885,0.0022,0.21498,-0.37699,-0.0129,-0.6377
0.371,0.037699,0.0037,0.42748,-0.39584,-0.0086,-0.2152
0.381,0.037699,0.0057,0.62749,-0.41469,-0.0039,0.1773
0.391,0.037699,0.0081,0.84749,-0.43354,0.0007,0.5123
0.401,0.056549,0.0107,1.0625,-0.43354,0.0052,0.8398
0.411,0.075398,0.0133,1.2575,-0.43354,0.0092,1.0898
0.421,0.075398,0.0157,1.4175,-0.41469,0.0123,1.2323
0.431,0.094248,0.0183,1.6325,-0.41469,0.0155,1.4823
0.441,0.1131,0.0217,1.9675,-0.39584,0.0193,1.8273
0.451,0.13195,0.0254,2.275,-0.39584,0.0225,2.0073
0.461,0.1508,0.0288,2.5001,-0.35814,0.0238,1.9148
0.471,0.16965,0.0312,2.5801,-0.33929,0.0228,1.6099
0.481,0.1885,0.0319,2.4626,-0.32044,0.0195,1.1324
0.491,0.22619,0.0309,2.2176,-0.28274,0.0157,0.79738
0.501,0.26389,0.0287,1.9326,-0.26389,0.0119,0.51238
0.512,0.30159,0.0253,1.5576,-0.24504,0.0083,0.26239
0.521,0.33929,0.0213,1.1976,-0.22619,0.0049,0.027391
0.531,0.33929,0.0174,0.91515,-0.20735,0.0014,-0.24511
0.541,0.37699,0.0142,0.74516,-0.1885,-0.0019,-0.47261
0.551,0.39584,0.0117,0.62766,-0.1885,-0.0047,-0.63261
0.561,0.41469,0.0097,0.52767,-0.1885,-0.0069,-0.73762
0.571,0.45239,0.0076,0.36017,-0.1885,-0.0081,-0.72762
0.581,0.45239,0.0058,0.25517,-0.1885,-0.0087,-0.71262
0.591,0.49009,0.0044,0.19018,-0.22619,-0.0092,-0.74013
0.601,0.49009,0.0031,0.10268,-0.22619,-0.0096,-0.76013
0.611,0.50894,0.0021,0.057679,-0.24504,-0.0098,-0.75514
0.621,0.50894,0.0011,-0.01732,-0.24504,-0.0095,-0.68264
0.631,0.52779,0.0003,-0.05732,-0.26389,-0.0082,-0.48515
0.641,0.52779,0.0001,-0.01232,-0.28274,-0.0061,-0.24765
0.651,0.52779,0.0008,0.13018,-0.28274,-0.0037,-0.037652
0.661,0.52779,0.0019,0.25268,-0.30159,-0.0016,0.089848
0.671,0.52779,0.0032,0.37018,-0.32044,0.0004,0.22985
0.681,0.52779,0.0045,0.46769,-0.32044,0.002,0.30985
0.691,0.52779,0.0065,0.68769,-0.32044,0.0031,0.34235
0.701,0.52779,0.0086,0.85519,-0.32044,0.0041,0.40735
0.711,0.54664,0.0107,1.0127,-0.30159,0.0048,0.42985
0.721,0.54664,0.0132,1.2402,-0.28274,0.0059,0.55236
0.731,0.56549,0.0161,1.4977,-0.28274,0.0068,0.59986
0.741,0.56549,0.0186,1.6452,-0.28274,0.007,0.54486
0.751,0.58434,0.0201,1.6577,-0.26389,0.0059,0.33237
0.761,0.62204,0.0199,1.4727,-0.24504,0.0031,-0.047631
0.771,0.64088,0.0185,1.2478,-0.24504,-0.0008,-0.45013
0.781,0.64088,0.0167,1.0728,-0.24504,-0.0047,-0.74263
0.791,0.65973,0.0147,0.90277,-0.24504,-0.0082,-0.96514
0.801,0.69743,0.0122,0.66527,-0.24504,-0.0113,-1.1576
0.811,0.69743,0.0089,0.33778,-0.24504,-0.0138,-1.2852
0.821,0.71628,0.0055,0.07278,-0.26389,-0.0159,-1.4027
0.831,0.71628,0.0021,-0.18222,-0.30159,-0.018,-1.5602
0.841,0.73513,-0.0004,-0.27972,-0.30159,-0.02,-1.7002
0.851,0.75398,-0.0022,-0.34472,-0.32044,-0.0214,-1.7452
0.861,0.75398,-0.0029,-0.28722,-0.33929,-0.0216,-1.6402
0.871,0.73513,-0.0028,-0.19972,-0.37699,-0.0206,-1.4452
0.881,0.73513,-0.0024,-0.13972,-0.37699,-0.0184,-1.1602
0.891,0.73513,-0.0015,-0.022225,-0.41469,-0.0157,-0.90773
0.901,0.73513,-0.0008,0.010275,-0.45239,-0.0128,-0.67023
0.911,0.71628,-0.0002,0.045275,-0.45239,-0.0097,-0.41774
0.921,0.71628,0.0008,0.16028,-0.49009,-0.0067,-0.20274
0.931,0.71628,0.0022,0.30528,-0.49009,-0.004,-0.030243
0.941,0.71628,0.0047,0.60278,-0.52779,-0.0017,0.10226
0.951,0.73513,0.0074,0.82528,-0.54664,0,0.16976
0.961,0.73513,0.0101,1.0278,-0.54664,0.0013,0.22726
0.971,0.75398,0.0129,1.2478,-0.54664,0.002,0.21976
0.982,0.75398,0.0153,1.3878,-0.54664,0.0024,0.21976
0.991,0.77283,0.017,1.4453,-0.52779,0.003,0.28476
1.001,0.77283,0.0179,1.4328,-0.52779,0.0041,0.41726
1.011,0.79168,0.0177,1.3078,-0.52779,0.0053,0.51727
1.021,0.81053,0.0164,1.1003,-0.50894,0.005,0.34477
1.031,0.82938,0.0143,0.86284,-0.50894,0.0035,0.11227
1.041,0.86708,0.0112,0.53035,-0.50894,0.0009,-0.19273
1.051,0.86708,0.0076,0.21035,-0.49009,-0.002,-0.44023
1.061,0.88593,0.0042,-0.024645,-0.49009,-0.0045,-0.58773
1.071,0.90478,0.0009,-0.26214,-0.49009,-0.0067,-0.72274
1.081,0.90478,-0.0016,-0.36965,-0.50894,-0.0088,-0.87024
1.091,0.90478,-0.0035,-0.45215,-0.50894,-0.0104,-0.94025
1.101,0.90478,-0.005,-0.52465,-0.52779,-0.0128,-1.2003
1.111,0.88593,-0.006,-0.54965,-0.52779,-0.0163,-1.5728
1.121,0.88593,-0.007,-0.62466,-0.54664,-0.0199,-1.8528
1.131,0.88593,-0.0084,-0.76966,-0.56549,-0.0222,-1.8953
1.141,0.88593,-0.0089,-0.71717,-0.58434,-0.022,-1.6303
1.152,0.86708,-0.0081,-0.52717,-0.62204,-0.0195,-1.2128
1.161,0.86708,-0.0057,-0.18717,-0.64088,-0.016,-0.85031
1.171,0.82938,-0.0025,0.13283,-0.65973,-0.012,-0.50032
1.181,0.82938,0.0012,0.46033,-0.67858,-0.0086,-0.30532
1.191,0.82938,0.0048,0.72033,-0.69743,-0.0052,-0.050323
1.201,0.82938,0.0078,0.88533,-0.71628,-0.0022,0.13468
1.211,0.84823,0.0103,1.0228,-0.73513,0.0001,0.23718
1.221,0.84823,0.0119,1.0528,-0.73513,0.002,0.33968
1.231,0.86708,0.013,1.0854,-0.73513,0.0042,0.53468
1.241,0.86708,0.0146,1.2554,-0.73513,0.0071,0.82218
1.251,0.86708,0.0163,1.3929,-0.73513,0.0108,1.1797
1.261,0.90478,0.0172,1.3804,-0.73513,0.0134,1.2647
1.271,0.90478,0.0169,1.2379,-0.71628,0.0133,0.9872
1.281,0.92363,0.015,0.93539,-0.69743,0.0103,0.47221
1.291,0.96133,0.0121,0.6179,-0.67858,0.0049,-0.17279
1.301,0.96133,0.0089,0.3479,-0.65973,-0.001,-0.66529
1.311,0.98018,0.006,0.1604,-0.65973,-0.0064,-1.0203
1.321,0.99903,0.0035,0.012907,-0.65973,-0.0114,-1.3553
1.331,0.99903,0.0014,-0.10459,-0.65973,-0.0153,-1.5378
1.341,1.0367,-0.0006,-0.24459,-0.69743,-0.0186,-1.7253
1.351,1.0367,-0.0023,-0.34209,-0.69743,-0.0233,-2.2178
1.361,1.0367,-0.0036,-0.3996,-0.71628,-0.0289,-2.7278
1.371,1.0179,-0.0044,-0.4096,-0.73513,-0.0335,-2.9729
1.381,1.0179,-0.005,-0.4346,-0.75398,-0.0352,-2.8104
1.391,0.99903,-0.0056,-0.4796,-0.79168,-0.033,-2.2554
1.401,0.99903,-0.0058,-0.45461,-0.82938,-0.028,-1.6004
1.411,0.99903,-0.0055,-0.38211,-0.86708,-0.0213,-0.92792
1.421,0.99903,-0.0045,-0.23711,-0.90478,-0.015,-0.49543
1.431,0.98018,-0.0032,-0.10961,-0.92363,-0.0095,-0.16293
1.441,0.98018,-0.0016,0.040386,-0.96133,-0.0049,0.092066
1.451,0.96133,0,0.16039,-0.98018,-0.0012,0.27957
1.461,0.96133,0.0018,0.31539,-0.98018,0.0017,0.41707
1.471,0.96133,0.0039,0.50289,-0.99903,0.0055,0.79207
1.481,0.96133,0.0057,0.60789,-0.99903,0.0113,1.4271
1.491,0.96133,0.0071,0.6729,-0.99903,0.0168,1.8096
1.501,0.98018,0.0076,0.6204,-0.98018,0.0189,1.6271
1.511,0.99903,0.0071,0.4829,-0.96133,0.016,0.9096
1.521,0.99903,0.0058,0.30541,-0.94248,0.0092,0.0096051
1.531,1.0179,0.0046,0.22541,-0.94248,0.0011,-0.72789
1.541,1.0367,0.0039,0.22291,-0.92363,-0.0063,-1.2129
1.551,1.0367,0.0043,0.36291,-0.92363,-0.013,-1.6454
1.561,1.0556,0.0055,0.53291,-0.92363,-0.0185,-1.9379
1.571,1.0556,0.0055,0.41292,-0.94248,-0.0237,-2.2979
1.581,1.0556,0.0046,0.25542,-0.94248,-0.0308,-3.0204
1.591,1.0556,0.003,0.065421,-0.96133,-0.04,-3.9205
